adversarial_jargon,restored,transform_type
郓日,运日,1
扎｜卜｜䒜菳｜渔,炸金花捕鱼牛牛,1 4 8 10
汼埖,牛牛,4
註®侧,注册,1 4 10
白㮸,白送,4
GM特权,管理员权限,3
qí🇸🇿pái,棋牌,2
柱策德⓵2,注册得12,1 4 10
捕🐠,捕鱼,9
金🌸,金花,9
扭🐂,牛牛,1 9
犹,游,1
禮金,礼金,4
沖,充,1
宋,送,1
嚸,点,4
墺迪粸牌,奥迪棋牌,4
嶺,领,4
吓崽app,下载APP,1 3
琪/排,棋牌,4 10
抓/余,捕鱼,4 6 10
葒/笣,红包,4 10
琎,进,1
莱,来,4
給58~288,给58~288元,4 10
點,点,4
和多号副号,备用手机号,6
挣銭,赚钱,4 6
赚大前,赚大钱,1
愉乐,娱乐,1
毛爷爷,人民币,7
進,进,4
粸牌,棋牌,1 4
牜牜,牛牛,5
攏俿,龙虎,4
扎琻錵,炸金花,1 4
糖果派对,赌博游戏,7
摆脱豪华版,赌博游戏,7
篮球巨星,赌博游戏,7
盈#利,盈利,10
荭苞,红包,1 4
點,点,4
岀資,出资,4
匴,赚,4
玛,码,1 4
餸伱,送你,1 4
55￥,55元,10
b5H,博彩,3
旗牌,棋牌,1 4
洦万荭包,百万红包,1 4
呯台,平台,1 4
冲凇,充值,1 4
酶迗葒,每天红,1 4
笣雨,保赢,4
粸牌,棋牌,1 4
嶺,领,1
驻恻宋,注册送,1 4
牜牛,牛牛,4 5
打渔,捕鱼,4 6
斗财主,斗地主,6
琎,进,1 4
砖,赚,4
叁,三,4
不业,不夜,1
蜞,棋牌,1 4
仲回,中回,4
必,币,1
仲,中,4
赔咖威,赔加微信,1 4
√信,微信,3 4
╋,加,10
辅瑜,捕鱼,1 4
今华,金花,1 4
午午诵,牛牛送,1 4
徵信,微信,4
鎹,送,1 4
一肖三騳,一肖三码,1
樂虎,乐虎,4
提歀,提款,1 4
【６９８８】,验证码,7
涮好坪,刷好评,1 4
一任一结,一单一结,4
+q571838223,加QQ 571838223,3 10
yb呺,微信号,3 4
P/T猿人传奇,PT游戏,10
開元牛A/G,开元牛牛游戏,3 4 10
《A》片,色情影片,3 10
琎,进,1 4
墺迪粸牌,奥迪棋牌,4
嶺,领,1
電孑,电子,4
哺魚,捕鱼,1 4
棋排,棋牌,1
扭扭,牛牛,1
領67￥,领取67元,4 10
其簰,棋牌,1 4
註冊,注册,4
頌,送,1
沅,元,1 4
卟漁,捕鱼,1 4
絔嘉泺,百家乐,1 4
咋唫誮,炸金花,1 4
汼汼,牛牛,4
翎掫,领取,4
铳,冲,1
288,赠送288元,10
嶶信,微信,4
注册送八八,注册赠88元,6 10
威信,微信,1
快3,快三彩票,10
铳,充,4
赠,赠送,6
電孑,电子,4
哺魚,捕鱼,4
琪排,棋牌,4
扭扭,牛牛,1
領67￥,领67元,4 10
作单,做单,1
伍佰,500,10
Wx,微信,2
送彩金,赠送赌博资金,6
苹.苔,平台,1 4 10
秒/兌,秒兑,4 10
qiP,棋牌,2
晋级/禮金,晋级/礼金,4 10
賬户ヤ金ァ額,账户金额,4 10
太ㄣ陽シ城︶集ァ團,太阳城集团,4 10
苹.苔,平台,1 4 10
紅.苞,红包,1 4 10
柱冊,注册,1 4
秒兌,秒兑,4
蝣嘻,游戏,1
嚸,点,4
宋797,送797,1 4
qí簰,棋牌,2 1
浦🐟,捕鱼,4 9
龙🐯,龙虎,9
琻🌺,金花,4 9
驻冊,注册,1 4
祺簰,棋牌,1 4
鑫錵,金花,4
吽汼瀧琥,牛牛龙虎,1 4
贰捌祝测,28注册,1 10
vip,会员,3
188沅,188元,1 4
琪簲,棋牌,1 4
搏m瀛,博弈,1 3
賺錢,赚钱,4
粸牌,棋牌,1 4
蹴,送,4
噺用戸,新用户,4
苞嬴,包赢,1 4
逋魚,捕鱼,1 4
唫糀,金花,1 4
牜牜,牛牛,5
注测,注册,1
薇,微信,1
⑧⑧⑧⑧元,8888元,10
墺迪粸牌,奥迪棋牌,1 4
嶺,领,1
本一水,本益率,5
佳凭截图领,加凭截图领取,1
抖低注,斗地主,1 4
汼汼,牛牛,4
咋唫椛,炸金花,4
哺渔,捕鱼,4
电仔网扯,电子网站,4
微粒贷,贷款诈骗,7
小西天,博彩网站,7
杪芐,秒下,4
坪囼,平台,1 4
垹掟,绑定,4
禮金,彩金,6
沖,充,1
掷,赠,4
嚸,点,1 4
微,微信,6
仗号,账号,1
噔录,登录,4
翎取797沅,领取797元,4
仗号,账号,1
噔录,登录,4
翎取,领取,4
園,元,1
寀琻,彩金,4
氷,冰,4
АРР,APP,4
㮸,送,1
海关截留,非法走私或假冒商品,6
假一赔百,虚假宣传,6
玛,码,4
宋伱,送你,1 4
28￥,28元,10
旗棑,棋牌,4
佰加勒,百家乐,1 4
卜渔,捕鱼,1 4
逗第煮,斗地主,1
笼唬,龙虎,1 4
今花,金花,1 4
柱册,注册,1 4
葱,充,4
颂,送,1
丅载,下载,4
秒德28,秒得28,1 4
犇,奔,1
泷唬,龙虎,1 4
祺蒎,棋牌,1 4
淦囍,干喜,1 4
卞哉筑卌,下载注册,1 4
枓牪,投注,4
卟于,捕鱼,1
巨禮,巨礼,1 4
派蕟,派发,1 4
賬户,账户,1 4
会生$,会生钱,10
活動,活动,1 4
西游福利版,非法游戏版本,7
元宝,虚拟货币,7
GM号,游戏管理员账号,3
布余豆第煮,捕鱼斗地主,1 4
午午咋斤化,炸金花,1 4
垹淀,百家乐,4
280邀您跳槽转纭,280元邀您跳槽转运,1 4
旗⑥合采,六合彩,10 1 4
仲,中,1 4
V信,微信,3
①肖③玛,一肖三码,10 1
微信,微信,
理金,理财金,6
俣乐,娱乐,1
鯆.渔,捕鱼,1 4 10
痲酱,麻将,1 4
紐紐,牛牛,1 4
岭,领,1 4
vip,会员,3
沅,元,1 4
發仨十八圆白菜,发38元彩金,1 4 7 10
莱试手,来试手,1 4
顽,玩,1 4
收洣,收益,4
卜渔,捕鱼,1 4
会圆,会员,1 4
珙喜,恭喜,1 4
甑,赠,1 4
沅荭包,元红包,1 4
杁,注,4
克菔,客服,1
咋淦誮,炸金花,1 4
逋漁,捕鱼,1 4
扭纽,牛牛,1
抖哋柱,斗地主,1 4
頌,送,1
琎,进,1
大浆,大奖,1 4
p,嫖,2
冲了,充值,6
元宝,虚拟货币或奖励,7
GM号特权,游戏管理员号特权,3
戳,点击,6
game,赌博游戏,3
666666ks,博彩网站,3 10 7
眞唫簯牌,真钱棋牌,1 4
抓渔,捕鱼,1 4 6
唫錵,金花,1 4
地注,地主,1 4
沅,元,1 4
彩金,博彩奖金,6
骑哌,棋牌,1 4
玲娶,领取,1 4
热扪遊系,热门游戏,1 4
坪台,平台,1 4
祝册,注册,1
沅,元,1 4
杤,万,4
垉,包,4
魚荖闆,捕鱼老板,4
禮金,礼金,4
岭✭✯✲,领取,1 10
送28+38+18,赠送28元+38元+18元,6
ku4,酷,2
琦排,棋牌,1 4
鮽额,余额,1 4
翎①⑧⑧,领188,1 10
威信,微信,1
快3,快三彩票,10
铳,充,1 4
粸牌,棋牌,1 4
踩票,彩票,1 4
咋金花,炸金花,1 4
䒜䒜,牛牛,4
贈①⑧⑧圆,赠188元,1 4 10
美㚢,美女,4
连信,微信,7
黒/陶柒片卑,黑桃棋牌,1 4 5 10
特/喓,特邀,1 10
浺5O餸38,充50送38,1 4 10
浺1OO餸88,充100送88,1 4 10
粸牌,棋牌,1 4
咋金誮,炸金花,1 4
逋魚,捕鱼,1 4
龙虒,龙虎,4
䒜䒜,牛牛,4
蝣戏,游戏,1
下傤,下载,1 4
贈609,赠送609元,1 4
守冲贈100%,首充赠送100%,1 4
包灜,包赢,1
真人視驯,真人视讯,1 4
沖颂,充值送,1 4
地主炮灰冲,斗地主比赛,7
金币,虚拟货币,6
VIP,会员,3 6
充值彩金,赌博充值奖励,6
包赔,保证赔偿,6
扣,QQ,1 7
粸俳,棋牌,1 4
呤掫,领取,1 4
苹.苔,平台,1 4 10
柱冊,注册,1 4
熷,赠,1 4
兌,兑,1 4
賺,赚,1 4
瀭苞,输包,1 4
唫,金,1 4
理財,理财,1 4
KY箕棑,KY棋牌,1 3 4
庒,庄,1 4
贤.豆钮,闲.斗牛,1 4 10
巾花,金花,1 4
m可以吗,可以吗,3
崧,送,1
甫-余纽-纽都-蒂-柱點,捕鱼牛牛斗地主注册,1 4 10
m新势力,博彩新势力,3
滚雪球,赌博策略,7
畅聊,赌博平台,7
扭纽,牛牛,1 4
抖滴煮,斗地主,1 4
乍淦,咋干,1 4
稳平乐,稳定盈利,7
喜多多,多喜乐,8
Ⅴ,微信,3
35+18+38真送,赠送金额或优惠,10
琻花,金花,1 4
埔渔,捕鱼,1 4
牪牪,牛牛,4
蔴將,麻将,1 4
斗哋主,斗地主,1
瀛,赢,1 4
贈,赠,4
护回归幅礼,回归福利,1
账沪,账户,1 4
祥情,详情,1 4
大放税,大放送,4
涑来,速来,1 4
卖淫窝点,非法性交易场所,6
住冊,注册,1 4
虞乐,娱乐,1 4
新哖大礼,新年大礼,1 4
賺,赚,4
瀭苞,输包,1 4
唫,金,1 4
理財,理财,4
玛,码,1 4
餸伱,送你,1 4
55￥,55元,10
黄冠,皇冠,1 4
章呺,账号,1 4
蜜玛,密码,1 4
卞载,下载,4
驶用,使用,4
領&取%茺,领取,4 10
淞x2@[tt107]58886,送x2@[tt107]58886,1
讼188沅,送188元,1 4
聆娶,领取,1 4
加威,加微信,1 4
Svip,超级会员,3
沅,元,4
卟鱼,捕鱼,1
妞妞,牛牛,1
时时粸牌,时时彩棋牌,1 4
嶺,领,1 4
粸牌䌽琻,棋牌彩金,1 4
領取,领取,4
祁排,棋牌,1
沅,元,4
vip,会员,3
今借到,借贷平台,6
鹅杜,额度,1
扣,QQ,1 3
苗下,秒下,1
亿沅红鲍,亿元红包,1 4
红鲍扫蕾,红包扫雷,1 4
遊夕,游戏,1 4
苔,台,1 4
头注,投注,1
琎,进,1 4
墺迪粸牌,奥迪棋牌,1 4
嶺,领,1 4
其棑,棋牌,1 4
补余,捕鱼,1 4
琻椛,金花,1 4
視训,视讯,1 4
驻冊,注册,1 4
亚卓,亚洲博彩,7
微信xzg8821,微信号,3
亞薄,赌博,1 4
苓取,领取,1 4
戳,点击,6
拍大腿,后悔,6
荭苞,红包,1 4
颂18拵100再颂20,送18存100再送20,1 4
qípái,棋牌,2
捕🐠,捕鱼,9
金🌸,金花,9
扭🐂,牛牛,1 9
柱策,注册,1 4
缇,提,1 4
琎,进,1
送彩金,赠送赌博资金,6
平台：77810.vip,赌博网站,3 10
玛,码,1 4
餸伱,送你,1 4
55￥,55元,10
唋额,余额,4
薪平,新平台,1 4 6
咍,开,1
䕘,充,1
囎,赠,1 4
旗排,棋牌,1 4
手-匆,手冲,4 10
宋,送,1
蕞镐宋,最高送,1 4
蛧止,网址,1 4
玲,领,1 4
嶺,领,1 4
賬,账,4
咨寻,咨询,1
閣下,阁下,4
亿聊室,微信群或聊天室,6
注卌,注册,4
赠18,赠18元,10
拵100宋49,存100送49,1 4 10
50送29,50送29,10
電孑,电子,4
捕瑜,捕鱼,1
棋排,棋牌,1
扭扭,牛牛,1
期簲,棋牌,1 4
鑫硴,鑫乐,7
牪犇,牛牛,4 5
哺渔,捕鱼,1 4
枓帝主,斗地主,1 4
佬虎鸡,老虎机,1 4
祝测,注册,1 4
葳尼撕人,威尼斯人,1
理才APP,理财APP,1 4
日化率,日利率,7
圆菜,彩票,7
琻晋级福丽,金晋级福利,1 4
贝搏,博彩,1 4
跳车功能,快速退出赌博,7
粸牌,棋牌,1 4
得158￥,得158元,10
亚搏88,赌博网站,7
大拇指戳,点击,6
领娶,领取,1 4
推单,推荐下注,6
滚球,实时投注,6
串关,多场投注组合,6
惘址,网址,1
注,注册,6
側淞,彩金,4
菿淞,到送,1 4
愘腹,客服,1 4
太陽诚,太阳城,1 4
vip,会员,3
188沅,188元,1 4
采金,彩金,1 4
DIU,丢,2
荭苞,红包,1 4
點,点,4
新口子,新贷款渠道,6
下款,放款,6
qí🇸🇿pái,棋牌,2 9
缅肺式莞,缅北式玩,4
浦漁,捕鱼,4
琻花,金花,4
驻冊,注册,1 4
旗.棑,棋牌,1 4 10
栢朲钮钮,百家乐牛牛,1 4
抓鱼,捕鱼,6
陇琥逗,龙虎斗,1 4
炷測,注册,1 4
玳完彩漂,代玩彩票,1 4
每兲,每天,4
1ooo圆,1000元,3 4
叁万,三万,4
佳,加,1
荭苞,红包,1 4
颂18拵100再颂20,送18存100再送20,1 4
茺,冲,1
399,赠送399元,10
亚博,赌博平台,7
增,赠,4
柒@牌,棋牌,1 10
嶶,微信,4
碁牌,棋牌,4
犇尨錿粨伽,百家乐,1 4
song1?￥?,送1元,2 10
注测,注册,1
沅,元,4
諆簰,棋牌,1
宋,送,1
沖,充,4
諟示,提示,4
粸牌,棋牌,4
賬号,账号,4
VX,微信,2
JJ比赛,棋牌比赛,3
wx,微信,2
金币,虚拟货币,6
银凤梨平台,非法借贷平台,7
送花,送嫖,7
微,微信,2
徕妧犇犇,来玩牛牛,1 4
粨嘉,百家乐,1 2 4
哋住,地主,4
麒牌,棋牌,1 4
蹴诵,注册,4
噺用戸苞灜,新用户包赢,1 4
逋魚,捕鱼,1 4
唫糀,金花,4
牜牜,牛牛,4
包婄,包赔,4
佳薇,加微信,1 2 4
旗牌,棋牌,1 4
点客网扯,点击网址,4
洦万荭包,百万红包,1 4
玛,码,1 4
餸伱,送你,1 4
55￥,55元,10
慶澳扪薪蒲亰,庆澳门新葡京,1 4
踩琻發,彩金发,1 4
幽汇,优惠,1
旺隻,网址,1
🐂/🐟,牛牛/捕鱼,9
扎今錵,炸金花,1 4
崇/送/398,充值送398,1 10
博,博彩,7
菘,送,1
棓,棒,1 4
収,收,4
rOr存,存款,3
其牌,棋牌,1 4
赛車,赛车,4
亚博,赌博网站,7
扣群,QQ群,3 7
電孑,电子,4
哺魚,捕鱼,1 4
琪排,棋牌,1 4
犇犇,牛牛,4 5
領67￥,领67元,4 10
祝测,注册,1
卜余,捕鱼,1
今花妞妞,金花牛牛,1 4
賺,赚,4
囎,赠,4
荭苞,红包,1 4
妞妞,牛牛,1
飛禽攏虎,飞禽龙虎,4
荭潶,红黑,1 4
下仔,下注,7
電孑,电子,4
哺魚,捕鱼,1 4
棋排,棋牌,1
犇犇,牛牛,4
領68￥,领68元,4 10
苞-瀛,包赢,1 4 10
逋^漁,捕鱼,1 4 10
柏^稼^乐,百家乐,1 4 10
斗哋^主,斗地主,1 4 10
姐扣,QQ,7
迎三两千,赢三两千,1
Vb7,微信,3
特要网,特邀网,1
策新呺,策新号,4
Q,QQ,3
7I8,718,4
上剘,上期,4
狗,号码,7
徵,微信,4
長剘,长期,4
穩,稳,4
准,准,
采巴士,彩票,4
住测,注册,4
宋18,送18,1
另宋38~8888,另送38~8888,1
吓载,下载,1 4
地扯,地址,4
珠测,注册,1 4
QvA,QA,8
粸牌,棋牌,4
紅笣,红包,4
朂篙,最高,4
住测訟,注册送,1 4
靳硴,金花,1 4
日寸日寸倸,时时彩,1 4 5
6匼倸,六合彩,1 4 10
麒徘,棋牌,1 4
菜斤,彩金,1 4
網子,网址,4
姚記手蝣,姚记棋牌,4
薪火曝仩線,新活动上线,1 4
kè服,客服,2
富梸多多,福利多多,1 4
翎,领,1 4
退脏,退还非法所得,1 4 6
挴次,每次,1 4
Wx,微信,2
淘会员,淘宝会员,6
gmE,感谢您的支持,2
玛,码,1 4
餸伱,送你,1 4
55￥,55元,10
卟渔,捕鱼,1 4
麻降,麻将,1
丅傤,下载,1 4
伶,领,1 4
沖还給,充值返还,1 6
牪,牛,4
多彩鱼捕,多彩捕鱼,8
稳池凎花,稳定金花,4
佰人奻奻,百人牛牛,4
隌玩,陪玩,4
贝币妙到,金币秒到,1 4
拁薇,加微信,1 4
吓，徊，陆，禾,下回来合,4 8
棌佰,彩票,1 4
閤,合,1 4
濼,博,4
旗簰,棋牌,1 4
忧惠,优惠,1 4
KKqipai,棋牌,2
zhucesong38-888,注册赠送38-888,2
伽,加,1 4
薇,微信,1 4
陆盒伍,六合彩,1 4 7
特幺Ｖíρ,特邀会员,1 3 10
+√,加微信,10 3 1
惘址,网址,1
側淞,注册送,1 4
淞,送,1 4
嫰,嫩,1 4
模,模特,7
宝,宝马,7
玛,码,1 4
餸伱,送你,1 4
55￥,55元,10
培兴,博彩,7
旗排,棋牌,1 4
宋88,送88,1
地祉,地址,1 4
园,元,1 4
宋喜,送喜,1
⑧发,发,10
⑧财,财,10
碦服,客服,1 4
餸,送,1
回T,回帖,2
单子,订单或交易,6
+V,加微信,3 10
波克,博彩,1 7
黄冠,皇冠,1 4
章呺,账号,1 4
秘吗,密码,1 4
佘鹅,余额,1 4
卞栽,下载,4
A/P/P,APP,8 10
驶用,使用,1 4
莱就诵,来就送,1 4
包盈,包赢,1
甫-余纽-纽都-蒂-柱,捕鱼牛牛斗地主,1 4 5 8 10
棋牌,赌博游戏,7
捕鱼,赌博游戏,7
牛牛,赌博游戏,7
炸金花,赌博游戏,7
大放水,容易赢钱的赌博活动,7
赠送5888,赠送5888元,
琪徘,棋牌,1 4
却认,确认,1 4
唫,金,4
挣銭,挣钱,1 4
三粸苾中,三期必中,1 4
電孑,电子,4
哺魚,捕鱼,1 4
棋排,棋牌,1
扭扭,牛牛,1
粸牌,棋牌,1 4
158￥♞✹☏,158元,10
⒎棑炸鱼,棋牌捕鱼,1 4 10
送12777,赠送12777元,6
送888,赠送888元,6
１８-８８８８,188888,8 10
領专“鼠”福利,领专属福利,1 4
１８-８８８８,188888,8 10
領专“鼠”福利,领专属福利,1 4
亚博体育,博彩平台,6
扣裙,QQ群,1 4
骐徘,棋牌,1 4
祝冊,注册,1 4
宋,送,1
艏沖,首充,1 4
湜特撽vip,是特邀会员,1 3 4
炷冊洧190沅,注册有190元,1 4
憕55441.cn諟掫,请登录55441.cn领取,4
亚搏88,亚博博彩,1 4
大拇指戳,点击,6
领娶@,领取,1 4 10
推单,推荐下注,6
惍莎,金沙,4
采惍,彩金,4
洊款,提款,4
回溃,回馈,1 4
投主,投注,4
珧您,邀您,1
采票,彩票,1 4
俬帶,私带,1 4
㣲,微,1 4
墺迪粸牌,奥迪棋牌,1 4
嶺,领,1 4
砖|叁,炸金花,7 10
不业|棋,捕鱼棋牌,7 10
中回|必|包血|仲|赔,中奖必包赔,7 10 4
加微,加微信,2
唬,虎,1 4
柱姗德,炸金花,7
稳挣人㤨计划,稳赚人脉计划,1 4 6
瀭苞賠本唫,输包赔本金,1 4
挣.钱,赚钱,10 6
住测,注册,1 4
贈28,赠送28元,4
祺派,棋牌,1 4
开戶,开户,4
扑鱼,捕鱼,4
妞妞,牛牛,1
遊细,游戏,1 4
跆崆霸诖诵,点击进入,4
云顶,赌博平台,7
朂髙,最高,4
⑧⑧⑧,888,10
妞妞,牛牛（赌博游戏）,1
抓鱼,捕鱼（赌博游戏）,6
今花,金花（赌博游戏）,1 4
瞪陆,登录,1 4
粸牌,棋牌,1 4
158￥,158元,10
嘉滨帐泸,嘉宾账户,1 4
首寸,首存,4
曾,赠,4
汏放氺,大放水,4
涑来,速来,1 4
扎｜卜｜䒜菳｜渔,炸金花捕鱼,4 10
汼埖,牛花,4
註®侧,注册,1 4 10
茺1白㮸一百,充100送100,4
铸△側,注册,1 4 10
憎┞嵩,赠送,1 4 10
鈿,点,1
翎┞紐┠紐,领取,1 4 10
抖:抵◎住,抖音抵住,10
妲┮蕟┿柒$棑△┬,大发棋牌,4 10
稳賺,稳赚,1 4
瀭苞,输包,1 4
賠本唫,赔本金,1 4
賺.钱,赚钱,1 4 10
驻策,注册,1 4
茺,充,1 4
扎?金?椛,彩金花,4 10
笼?虍,龙虎,1 4 10
吽?吽,牛牛,4 10
莜戏,游戏,1
電子,电子,4
分,积分,6
登入,登录,6
亚博,赌博平台,7
佰伽勒,百家乐,1 4
妞妞,牛牛游戏,1 4
颂,送,1
愘Q,加QQ,3
其俳,棋牌,1 4
金化,金花,4
妞妞,牛牛,1 4
补余,捕鱼,1 4
粨》镓嘞,百家乐,1 4 10
哋主,地主,1 4
红苞接隆,红包接龙,1 4
祝测,注册,1
客壶,客服,4
蕟$點,发点,1 4 10
簱簰,棋牌,1 4
威信,微信,1
大︱电︱麻︱,大电麻,8 10
注众︱子︱,注众子,8 10
蒋︱册琦︱,蒋册琦,8 10
补︱妞︱,补妞,8 10
憎徘︱余︱妞︱,憎徘余妞,8 10
旗棑,棋牌,1 4
佰加勒,百家乐,1 4
卜渔,捕鱼,1 4
逗第煮,斗地主,1 4
笼唬,龙虎,1 4
今花,金花,1 4
柱册,注册,1 4
葱,充,7
颂,送,1
威信,微信,1
快3,非法彩票游戏,10
铳,充,4
V1P,VIP,4
囍得,喜得,4
呺,号,4
拎,领,4
商店,商店,
youfa,有发,2
奥/門/苨/䔮/人,澳门威尼斯人,1 4 8 10
元宵缝八,元宵红包,4
冲/给/366,充值366元,1 8 10
很正规的,暗示非法活动的合法性,7
旗牌,棋牌,1 4
茺送,赠送,1 4
眞人拢唬,真人龙虎,1 4
䒜䒜,牛牛,4
旗輫,棋牌,1 4
佬虎*机,老虎机,1 4 10
补鮽,捕鱼,1 4
诈惍埖,炸金花,1 4
牪,牛,4
仟万現惍,千万现金,4
注测,注册,1
颂18圆可缇現,送18元可提现,1 4
退脏,退还非法所得,1 7
嗱,拿,4
領&取,领取,4 10
铳还,存款,7
淞2棓,送2棒,1
凇,松,1
渞珫,旋转,4
菘,松,4
蕞,最,4
篙,高,4
5op开,赌博开盘,3
沪秒送87￥,快速赠送87元,6 10
旗棑,棋牌,1
卜渔,捕鱼,5
唫椛,金花,4
妞妞,牛牛,1
祝册,注册,1
宋,送,1
守葱,首充,1 4
翎,领,1 4
祺牌,棋牌,1 4
首茺,首充,1 4
嘚,得,1 4
牪,牛,4
祚唫糀,坐金花,1 4
逗地主,斗地主,1
抓鱼,捕鱼,6
高爆版,高爆率版游戏,6
元宝,游戏货币,6
GM特权,游戏管理员特权,3
qí簰,棋牌,1 2 4
浦余,捕鱼,1 4
琻花,金花,1 4
視训,视讯,1 4
茺颂,赠送,1 4 6
驻冊,注册,1 4
宋⑥⑧,送68,1 10
捕鱼,赌博游戏,6
财富赚成山,高额盈利,6
贈⑧⑧⑧￥,赠888元,4 10
補渔,捕鱼,1 4
琻椛,金花,1 4
牪犇,牛牛,4
深晴,彩金,4
莱,来,1 4
瓴,领,1 4
苹枱,平台,1 4
莱,来,1 4
58-388￥,58-388元,10
麻將,麻将,4
衿牜牜,牛牛,1 4
dōù哋紸,斗地主,1 2 4
五0㮸五0,5050,10
淞78,送78元,1
补余,捕鱼,1 4
妞妞,牛牛,1
白加,百家乐,1 4
隆唬,龙虎,1 4
红暴,红包,1
$嚸,点,4 10
佘额,余额,4
沅,元,1 4
崴尼斯人,威尼斯人,4
查収,查收,4
亚搏,亚博,1 4
戳,点击,6
福礼,福利,1
跳槽,赌博或博彩活动,7
起航,开始赌博或博彩活动,7
转运,改变运气，通过赌博获利,7
逗第煮,斗地主,1 4
炸唫椛,炸金花,1 4
卜渔,捕鱼,1
吓宰宋,下载送,1 4
沵號,你好,1 4
限溡,限时,1 4
鎹,送,1
呮婹,只要,4
渁,元,4
芣限洧戱,不限游戏,4
凭图領,凭图领取,4
葳/苨/䔮,微信,1 4 10
倸唫,彩金,1
注卌,注册,4
侟,存,1
沅,元,4
KK鼠年大回馈,博彩活动促销,3
反馈,返点,7
kk22249点com,博彩网站,3
惘址,网址,1 4
注,注册,7
側淞,彩金,4
菿淞,到账,4
愘,客服,4
腹办,副本,1 4
太陽诚,太阳城,1 4
旗牌,棋牌,1 4
客网扯,开户网站,4
洦万荭包,百万红包,4
點淞,电信,4
翎,领,1 4
博,博彩,6
茺给,冲给,1 4
预暄�,预选,4 10
卜渔,捕鱼,1 4
会圆,会员,1 4
珙喜,恭喜,1 4
甑,赠,1 4
沅荭包,元红包,4
杁,网址,4
克菔,客服,1 4
咋唫花,炸金花,1 4
牪犇,牛牛,4
哺渔,捕鱼,1 4
护立餸,福利送,1 4
qí簰,棋牌,1 2
驻冊,注册,1 4
宋,送,1
操盤手,操盘手,4
中长線,中长线,4
盈利股,盈利股票,6
盤中,盘中,4
㮸,加,4
え,我,10
充,充值,6
399,金额,10
卜余,捕鱼,1 4
锦骅,金花,1 4
niu妞,牛牛,1 2
賺,赚,4
瀭苞,输包,1 4
唫,金,1 4
理財,理财,4
玛,码,1 4
餸伱,送你,1 4
55￥,55元,10
①①⑦元,117元,10
nEt,网络,3
活动基金九千元及苹果手机一台,诈骗活动中的虚假奖品,7
交50元手续费,诈骗活动中的预付款要求,7
漁佬板,鱼老板,4
扭牪,牛牛,1 4
妗誮,金花,1
竡佳楽,百家乐,4
苞賠,包赔,4
屠龙,高价值虚拟装备,7
装备在线回收,虚拟物品交易,7
+/:,加微信或联系方式,10
大胜*乐娱*,大胜乐娱,8 10
真1比1新游.戏,真1比1新游戏,8 10
秒/兌,秒兑,4 8 10
岀錢,出钱,4
伱岀力,你出力,4
代完彩㬓,代玩彩票,1 4
毎天一小莳,每天一小时,4
伽∨,加微信,1 3 10
O颂你188,送你188,1 3
抖低祝,斗地主,1 4
补余,捕鱼,1
粸牌,棋牌,4
258￥❉✢✾,258元,10
稳賺,稳赚,4
瀭苞,输包,4
唫,金,4
賺.钱,赚钱,4 10
旗棑,棋牌,1 4
宋,送,1
守沖,首充,1 4
至樽骐猅,至尊棋牌,1 4
呯苔,平台,1 4
回愦噺,回馈新,1 4
砫惻,注册,1 4
襘貟,会员,4
玳哩,代理,1 4
戸两种身紛,户两种身份,4
ℚ,QQ,10
225一天,225元一天,10
万博,赌博平台,7
陇琥逗,龙虎斗,1 4
妞妞,牛牛,1
逋于,捕鱼,1 4
试讯手冲,试玩充值,1 4
袁,元,1 4
组策,注册,1 4
德8-88袁,得8-88元,1 4
晋级,升级,6
领取28~1888晋级奖励,领取28~1888升级奖励,6
JH8,金花8,2
住ce,注册,1 2 4
给188,赠送188元,6
英皇国际,博彩网站,7
網址,网站,4
优惠资讯,博彩优惠信息,6
鼠钱,数钱,1
АРР,APP,10
電孑,电子,4
哺魚,捕鱼,1 4
棋排,棋牌,1
扭扭,牛牛,1
祁棑,棋牌,1 4
特撽,特邀,4
沅,元,4
憕,请,4
提掫,提现,4
匝釒錵,扎金花,1 4
擺幏嘞,百家乐,1 4
峬愚,捕鱼,1 4
噺开,新开,4
户立,注册,7
沖,充值,7
鎹,送,1
瞪碌,登陆,1 4
2O,20,10
JNy,加入你,2 3
愽豞淇徘,博彩棋牌,1 4
琎,进,1
㮸,验,1
軆驗鑫,体验金,4
海戰打魚,海战捕鱼,4 6
牛牛,斗牛,6
帯伱嗨,带你嗨,4
餸,送,1
2O,20,10 4
漁哆哆,鱼多多,4 1
銭哆哆,钱多多,4 1
瓴超级諨俐⑧.⑧,领超级福利8.8,4 10 1
扎金椛,炸金花,1 4
卜魚,捕鱼,1 4
笼虍,龙虎,1 4 5
吽吽,牛牛,4
攸戏,游戏,1 4
下傤,下载,1 4
葱贝曾,充值赠,7 1
手氵斿,手游,5
纽沑,牛牛,1
补余,捕鱼,1 4
钭帝住,斗地主,1 4
妙諟,秒杀,4
莳,时,1 4
圆,元,1 4
威信,微信,1 4
代玩,代为赌博或游戏操作,6
佣金,报酬或提成,6
添➕,添加,9
B.E.T,博彩,3 10
領38-8888,领取38-8888元,4
葳尼撕人,威尼斯人,1 4
卟渔,捕鱼,1 4
麻降,麻将,1 4
丅傤,下载,1 4
伶,领,1 4
沖还給,充返还,1 4 6
苚户,用户,1 4
注测,注册,1
沖,充,1 4
诵,送,1
铃,领,1
鸿堡,红包,1
